Actual_Concentration_mM,Predicted_Mean_mM,Predicted_Std_mM,SEM_mM,Upper_Error_mM,Lower_Error_mM,Upper_SEM_mM,Lower_SEM_mM,N_Samples,CV_Percent,Bias_mM,Device,Symbol,Error_Type
0.5,0.4952,0.5105,0.0722,1.0057,-0.01529999999999998,0.5674,0.423,50,103.0897,-0.0048,Palmsens,Circle,Standard_Deviation
1.0,0.7251,0.4883,0.0691,1.2134,0.23679999999999995,0.7942,0.6559999999999999,50,67.3424,-0.2749,Palmsens,Circle,Standard_Deviation
5.0,4.812,0.5573,0.0788,5.3693,4.254700000000001,4.8908000000000005,4.7332,50,11.5815,-0.188,Palmsens,Circle,Standard_Deviation
10.0,9.9511,0.6253,0.0884,10.5764,9.325800000000001,10.0395,9.8627,50,6.2837,-0.0489,Palmsens,Circle,Standard_Deviation
20.0,19.4884,0.867,0.1939,20.3554,18.621399999999998,19.682299999999998,19.2945,20,4.4488,-0.5116,Palmsens,Circle,Standard_Deviation
0.5,0.9881,0.2836,0.0518,1.2717,0.7044999999999999,1.0399,0.9363,30,28.7015,0.4881,STM32,Triangle,Standard_Deviation
1.0,1.2906,0.6665,0.0943,1.9571,0.6241,1.3849,1.1963,50,51.6426,0.2906,STM32,Triangle,Standard_Deviation
5.0,4.805,0.2906,0.0411,5.0956,4.514399999999999,4.8461,4.7639,50,6.0479,-0.195,STM32,Triangle,Standard_Deviation
10.0,10.4839,0.8538,0.135,11.3377,9.6301,10.6189,10.3489,40,8.1439,0.4839,STM32,Triangle,Standard_Deviation
20.0,19.7904,1.0751,0.2982,20.8655,18.715300000000003,20.088600000000003,19.4922,13,5.4324,-0.2096,STM32,Triangle,Standard_Deviation
