Type,PC1_Score,PC2_Score,Line_Type
PC1_Grid,-3,0.0,Vertical
PC1_Grid,-2,0.0,Vertical
PC1_Grid,-1,0.0,Vertical
PC1_Grid,0,0.0,Vertical
PC1_Grid,1,0.0,Vertical
PC1_Grid,2,0.0,Vertical
PC1_Grid,3,0.0,Vertical
PC1_Grid,4,0.0,Vertical
PC1_Grid,5,0.0,Vertical
PC2_Grid,0,-3.0,Horizontal
PC2_Grid,0,-2.5,Horizontal
PC2_Grid,0,-2.0,Horizontal
PC2_Grid,0,-1.5,Horizontal
PC2_Grid,0,-1.0,Horizontal
PC2_Grid,0,-0.5,Horizontal
PC2_Grid,0,0.0,Horizontal
PC2_Grid,0,0.5,Horizontal
PC2_Grid,0,1.0,Horizontal
PC2_Grid,0,1.5,Horizontal
