Concentration_mM,Device,MAE_Mean_mM,MAE_Std_mM,N_Samples,REP_Mean_Percent,REP_Std_Percent
0.5,Palmsens,0.4708,0.1856,50,94.161,37.1147
0.5,STM32,0.4881,0.2836,30,97.6287,56.7222
1.0,Palmsens,0.4453,0.3364,50,44.5271,33.64
1.0,STM32,0.6082,0.3911,50,60.8198,39.1061
5.0,Palmsens,0.5001,0.3024,50,10.002,6.048
5.0,STM32,0.2749,0.2149,50,5.4982,4.297
10.0,Palmsens,0.5736,0.2403,50,5.7356,2.403
10.0,STM32,0.8318,0.5095,40,8.318,5.0946
20.0,Palmsens,0.8436,0.5273,20,4.218,2.6363
20.0,STM32,0.9301,0.516,13,4.6507,2.5798
