Concentration_mM,Scan_Rate_mVs,Device,Feature,Mean_Value,Std_Value,CV_Percent,N_Replicates,Precision_Category
0.5,100,Palmsens,ox_voltage,0.09177133984000001,0.011076120493915967,12.069258782999986,50,Poor
0.5,100,Palmsens,ox_current,-15.905842239999997,1.4276117548366207,8.975392395420998,50,Acceptable
0.5,100,Palmsens,red_voltage,0.1784384,0.009905351132656755,5.551132005586664,50,Acceptable
0.5,100,Palmsens,red_current,15.99811418,1.6275219753907293,10.173211399037092,50,Poor
0.5,100,Palmsens,peak_separation,0.08666706015999999,0.004788898415756069,5.525626930133624,50,Acceptable
1.0,100,Palmsens,ox_voltage,0.0923718048,0.009905132399383428,10.72311234020993,50,Poor
1.0,100,Palmsens,ox_current,-33.35353252,3.987998063087975,11.956748691301664,50,Poor
1.0,100,Palmsens,red_voltage,0.18944699999999998,0.011482021332394003,6.060809267179741,50,Acceptable
1.0,100,Palmsens,red_current,32.4058244,4.769321966730778,14.71748383210636,50,Poor
1.0,100,Palmsens,peak_separation,0.0970751952,0.00463292228802367,4.77250885612813,50,Good
5.0,100,Palmsens,ox_voltage,0.04353383852000001,0.013926020173372597,31.98895536623724,50,Poor
5.0,100,Palmsens,ox_current,-126.51452864,9.433620108311143,7.456550808606911,50,Acceptable
5.0,100,Palmsens,red_voltage,0.23368086000000005,0.012205024958815367,5.2229459266862355,50,Acceptable
5.0,100,Palmsens,red_current,118.76561631999999,10.203514058365766,8.591303084618024,50,Acceptable
5.0,100,Palmsens,peak_separation,0.19014702148,0.014438930201087944,7.593561071166531,50,Acceptable
10.0,100,Palmsens,ox_voltage,-0.013310346880000004,0.020595372573862902,154.73204988225592,50,Poor
10.0,100,Palmsens,ox_current,-247.48416000000006,16.77235434943041,6.77714256517686,50,Acceptable
10.0,100,Palmsens,red_voltage,0.2805174,0.012787274168213528,4.5584602481748115,50,Good
10.0,100,Palmsens,red_current,236.48775999999998,18.773862955389735,7.9386192991086455,50,Acceptable
10.0,100,Palmsens,peak_separation,0.2938277468800001,0.026497978032458406,9.01820141692753,50,Acceptable
20.0,100,Palmsens,ox_voltage,-0.08976978000000002,0.010267765632430764,11.437886594387066,20,Poor
20.0,100,Palmsens,ox_current,-488.70325,3.572070118882122,0.7309282512203719,20,Excellent
20.0,100,Palmsens,red_voltage,0.3440669499999999,0.03455741261859899,10.043804735851262,20,Poor
20.0,100,Palmsens,red_current,464.67215000000004,14.577995271442868,3.137264686821206,20,Good
20.0,100,Palmsens,peak_separation,0.43383673,0.0243574051269813,5.614417462297694,20,Acceptable
