Device,Feature,CV_Mean,CV_Std,CV_Min,CV_Max,N_Measurements
Palmsens,ox_current,7.1794,4.1192,0.7309,11.9567,5
Palmsens,ox_voltage,44.1903,62.4357,10.7231,154.732,5
Palmsens,peak_separation,6.5049,1.7504,4.7725,9.0182,5
Palmsens,red_current,8.9116,4.1741,3.1373,14.7175,5
Palmsens,red_voltage,6.2874,2.1695,4.5585,10.0438,5
STM32,ox_current,7.1773,17.4253,0.4559,65.795,17
STM32,ox_voltage,6.3995,11.7512,0.0,46.5502,17
STM32,peak_separation,2.6516,2.4314,0.0,9.9896,17
STM32,red_current,7.1154,17.3506,0.0947,65.2147,17
STM32,red_voltage,1.4943,1.1049,0.0,3.1177,17
