DAC_Value,DAC_Hex,Measured_Voltage_V,Voltage_StdDev_V,Error_from_1250mV_mV,Within_Tolerance
2042,0x7FA,1.243212,0.000007,-6.788,False
2043,0x7FB,1.243819,0.000005,-6.181,False
2044,0x7FC,1.244392,0.000010,-5.608,False
2045,0x7FD,1.245002,0.000004,-4.998,False
2046,0x7FE,1.245646,0.000005,-4.354,False
2047,0x7FF,1.246257,0.000007,-3.743,False
2048,0x800,1.246846,0.000006,-3.154,False
2049,0x801,1.247430,0.000006,-2.570,False
2050,0x802,1.248028,0.000035,-1.972,False
2051,0x803,1.248579,0.000011,-1.421,False
2052,0x804,1.249156,0.000005,-0.844,True
2053,0x805,1.249753,0.000008,-0.247,True
2054,0x806,1.250394,0.000006,+0.394,True
2055,0x807,1.251004,0.000007,+1.004,False
2056,0x808,1.251631,0.000005,+1.631,False
2057,0x809,1.252224,0.000007,+2.224,False
2058,0x80A,1.252868,0.000005,+2.868,False
2059,0x80B,1.253463,0.000005,+3.463,False
2060,0x80C,1.254043,0.000007,+4.043,False
2061,0x80D,1.254655,0.000004,+4.655,False
2062,0x80E,1.255294,0.000009,+5.294,False
